"BotName","Enabled","BaseWeight","Group"
"04-EA_iChimoku_Cloud","1","1","legacy"
"AVA","1","1","legacy"
"CAP Breakout EA","1","1","legacy"
"CC GROW","1","1","legacy"
"CC V1","1","1","legacy"
"CC V1.2","1","1","legacy"
"CC V2.4.4","1","1","legacy"
"CC V2.5.2","1","1","legacy"
"CC V2.5.2.1","1","1","legacy"
"CEM BOT COPIER","1","1","legacy"
"CHEMICAL X V2","1","1","legacy"
"culture coin","1","1","legacy"
"CULTURE COIN V.1","1","1","legacy"
"CULTURE COIN V.2 (1)","1","1","legacy"
"DF 5.1","1","1","legacy"
"DF HIGHTOWER","1","1","legacy"
"DF HIGHTOWER V2","1","1","legacy"
"DF HIGHTOWER V3","1","1","legacy"
"DF KNOT","1","1","legacy"
"DF KNOT +AUTOFLIP","1","1","legacy"
"DF LADDER","1","1","legacy"
"DF LADDER - MOTION","1","1","legacy"
"DF LADDER - MOTION V3","1","1","legacy"
"DF LADDER- MOTION V2","1","1","legacy"
"DF LADDER RV","1","1","legacy"
"DF ORIGINAL","1","1","legacy"
"DF ORIGINAL ","1","1","legacy"
"DF SAUCE","1","1","legacy"
"DF SAUCE 2.0","1","1","legacy"
"DF SAUCE FINAL","1","1","legacy"
"DF TREND GHOST","1","1","legacy"
"DF_HIGHTOWER_ADAPTIVE_V7","1","1","legacy"
"DF_HIGHTOWER_V10_FULL","1","1","legacy"
"DF_SAUCE","1","1","legacy"
"DF_Sauce_EA","1","1","legacy"
"DF_Sauce_EA_FIXED","1","1","legacy"
"DFHIGHTOWERV6","1","1","legacy"
"DJ VERSION - ULTIMATE PACKAGE (1) (1)","1","1","legacy"
"fxDreema","1","1","legacy"
"GOLDSETUP","1","1","legacy"
"HALO","1","1","legacy"
"IMB","1","1","legacy"
"Kingdom Manner","1","1","legacy"
"KINGDOM MANNER - ULTIMATE PACKAGE","1","1","legacy"
"KINGDOM MANNER - VERSION 3","1","1","legacy"
"KINGDOM MANNER - VERSION 4","1","1","legacy"
"Kingdom Manner + Scale","1","1","legacy"
"Kingdom Manner + Scale + Margin Close","1","1","legacy"
"MACD Sample","1","1","legacy"
"Manner","1","1","legacy"
"Moving Average","1","1","legacy"
"SORO","1","1","legacy"
"SORO + IMB SCALER","1","1","legacy"
"Trade Panel Pro by RunwiseFX","1","1","legacy"
