"EAName","HasPreset","BestFile","BestFileDate"
"04-EA_iChimoku_Cloud","False","",
"AVA","False","",
"CAP Breakout EA","False","",
"CC GROW","False","",
"CC V1","False","",
"CC V1.2","False","",
"CC V2.4.4","False","",
"CC V2.5.2","False","",
"CC V2.5.2.1","False","",
"CEM BOT COPIER","False","",
"CHEMICAL X V2","False","",
"culture coin","False","",
"CULTURE COIN V.1","False","",
"CULTURE COIN V.2 (1)","False","",
"DF 5.1","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF 5.1.ini","2/12/2026 5:02:47 AM"
"DF HIGHTOWER","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V3.ini","3/3/2026 7:31:24 AM"
"DF HIGHTOWER V2","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V2.ini","3/1/2026 1:01:41 PM"
"DF HIGHTOWER V3","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V3.ini","3/3/2026 7:31:24 AM"
"DF KNOT","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF KNOT +AUTOFLIP.ini","3/16/2026 12:15:21 PM"
"DF KNOT +AUTOFLIP","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF KNOT +AUTOFLIP.ini","3/16/2026 12:15:21 PM"
"DF LADDER","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","2/3/2026 8:19:00 PM"
"DF LADDER - MOTION","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","2/3/2026 8:19:00 PM"
"DF LADDER - MOTION V3","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","2/3/2026 8:19:00 PM"
"DF LADDER- MOTION V2","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER- MOTION V2.ini","1/18/2026 6:54:13 AM"
"DF LADDER RV","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER RV.ini","1/7/2026 3:21:59 PM"
"DF ORIGINAL","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF ORIGINAL.ini","2/28/2026 11:05:55 AM"
"DF ORIGINAL ","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF ORIGINAL.ini","2/28/2026 11:05:55 AM"
"DF SAUCE","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE FINAL.ini","3/16/2026 12:28:12 PM"
"DF SAUCE 2.0","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE.ini","2/12/2026 5:06:54 AM"
"DF SAUCE FINAL","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE FINAL.ini","3/16/2026 12:28:12 PM"
"DF TREND GHOST","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF TREND GHOST.ini","3/16/2026 12:19:39 PM"
"DF_HIGHTOWER_ADAPTIVE_V7","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_HIGHTOWER_ADAPTIVE_V7.ini","3/5/2026 12:35:01 PM"
"DF_HIGHTOWER_V10_FULL","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_HIGHTOWER_V10_FULL.ini","3/1/2026 12:44:32 PM"
"DF_SAUCE","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","2/12/2026 5:14:04 AM"
"DF_Sauce_EA","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","2/12/2026 5:14:04 AM"
"DF_Sauce_EA_FIXED","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","2/12/2026 5:14:04 AM"
"DFHIGHTOWERV6","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DFHIGHTOWERV6.ini","3/16/2026 12:05:32 PM"
"DJ VERSION - ULTIMATE PACKAGE (1) (1)","False","",
"fxDreema","False","",
"GOLDSETUP","False","",
"HALO","False","",
"IMB","False","",
"Kingdom Manner","False","",
"KINGDOM MANNER - ULTIMATE PACKAGE","False","",
"KINGDOM MANNER - VERSION 3","False","",
"KINGDOM MANNER - VERSION 4","False","",
"Kingdom Manner + Scale","False","",
"Kingdom Manner + Scale + Margin Close","False","",
"MACD Sample","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\MACD Sample.ini","1/1/2026 8:29:58 AM"
"Manner","False","",
"Moving Average","True","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\Moving Average.ini","12/22/2025 5:07:02 PM"
"SORO","False","",
"SORO + IMB SCALER","False","",
"Trade Panel Pro by RunwiseFX","False","",
