"EAName","HasMQ4","HasEX4","Copies"
"04-EA_iChimoku_Cloud","True","False","1"
"AVA","True","True","2"
"CAP Breakout EA","False","True","1"
"CC GROW","True","True","2"
"CC V1","True","True","2"
"CC V1.2","True","True","2"
"CC V2.4.4","True","True","2"
"CC V2.5.2","True","True","2"
"CC V2.5.2.1","True","True","2"
"CEM BOT COPIER","True","True","4"
"CHEMICAL X V2","True","True","2"
"culture coin","True","False","1"
"CULTURE COIN V.1","True","True","4"
"CULTURE COIN V.2 (1)","True","False","1"
"DF 5.1","True","True","2"
"DF HIGHTOWER","True","True","2"
"DF HIGHTOWER V2","True","True","2"
"DF HIGHTOWER V3","True","True","2"
"DF KNOT","True","True","3"
"DF KNOT +AUTOFLIP","True","True","5"
"DF LADDER","True","True","2"
"DF LADDER - MOTION","True","True","2"
"DF LADDER - MOTION V3","True","True","2"
"DF LADDER- MOTION V2","True","True","2"
"DF LADDER RV","True","True","4"
"DF ORIGINAL","True","True","2"
"DF ORIGINAL ","False","True","1"
"DF SAUCE","True","True","2"
"DF SAUCE 2.0","True","True","2"
"DF SAUCE FINAL","True","True","2"
"DF TREND GHOST","True","True","2"
"DF_HIGHTOWER_ADAPTIVE_V7","True","True","2"
"DF_HIGHTOWER_V10_FULL","True","True","2"
"DF_SAUCE","True","True","4"
"DF_Sauce_EA","True","True","2"
"DF_Sauce_EA_FIXED","False","True","1"
"DFHIGHTOWERV6","True","True","2"
"DJ VERSION - ULTIMATE PACKAGE (1) (1)","False","True","1"
"fxDreema","True","True","2"
"GOLDSETUP","True","True","2"
"HALO","False","True","1"
"IMB","True","True","2"
"Kingdom Manner","True","True","2"
"KINGDOM MANNER - ULTIMATE PACKAGE","True","True","2"
"KINGDOM MANNER - VERSION 3","False","True","1"
"KINGDOM MANNER - VERSION 4","False","True","1"
"Kingdom Manner + Scale","True","True","4"
"Kingdom Manner + Scale + Margin Close","True","False","1"
"MACD Sample","True","True","9"
"Manner","True","True","2"
"Moving Average","True","True","9"
"SORO","True","True","2"
"SORO + IMB SCALER","True","True","2"
"Trade Panel Pro by RunwiseFX","False","True","1"
