"EAName","FeatureSummary","InputCount"
"04-EA_iChimoku_Cloud","inputs not obvious / hardcoded logic","0"
"Accelerator","inputs not obvious / hardcoded logic","0"
"Accumulation","inputs not obvious / hardcoded logic","0"
"Alligator","inputs not obvious / hardcoded logic","6"
"ATR","indicator-driven entries","1"
"AVA","risk/lot sizing, time/session filter, grid/multiplier logic, break-even logic, indicator-driven entries","56"
"Awesome","inputs not obvious / hardcoded logic","0"
"Bands","inputs not obvious / hardcoded logic","3"
"Bears","break-even logic","1"
"Bulls","inputs not obvious / hardcoded logic","1"
"CC GROW","inputs not obvious / hardcoded logic","0"
"CC V1","inputs not obvious / hardcoded logic","0"
"CC V1.2","inputs not obvious / hardcoded logic","0"
"CC V2.4.4","inputs not obvious / hardcoded logic","0"
"CC V2.5.2","inputs not obvious / hardcoded logic","0"
"CC V2.5.2.1","inputs not obvious / hardcoded logic","0"
"CCI","inputs not obvious / hardcoded logic","1"
"CEM BOT COPIER","risk/lot sizing, magic number control, spread/slippage guard, indicator-driven entries","6"
"CHEMICAL X V2","inputs not obvious / hardcoded logic","0"
"culture coin","inputs not obvious / hardcoded logic","0"
"CULTURE COIN V.1","inputs not obvious / hardcoded logic","0"
"CULTURE COIN V.2 (1)","inputs not obvious / hardcoded logic","0"
"Custom Moving Averages","indicator-driven entries","3"
"DailyPercentageChange","time/session filter","34"
"DF 5.1","risk/lot sizing, SL/TP/trailing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries, trade count limits","81"
"DF HIGHTOWER","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries, trade count limits","61"
"DF HIGHTOWER V2","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries, scale-in support, trade count limits","83"
"DF HIGHTOWER V3","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries, trade count limits","118"
"DF KNOT","risk/lot sizing, magic number control, grid/multiplier logic, indicator-driven entries, trade count limits","20"
"DF KNOT +AUTOFLIP","risk/lot sizing, magic number control, grid/multiplier logic, indicator-driven entries, trade count limits","24"
"DF LADDER","risk/lot sizing, magic number control, spread/slippage guard, break-even logic, indicator-driven entries","10"
"DF LADDER - MOTION","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries","40"
"DF LADDER - MOTION V3","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries","53"
"DF LADDER- MOTION V2","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries","45"
"DF LADDER RV","risk/lot sizing, magic number control, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries","20"
"DF ORIGINAL","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries","79"
"DF SAUCE","risk/lot sizing, magic number control, spread/slippage guard, grid/multiplier logic, indicator-driven entries","43"
"DF SAUCE 2.0","risk/lot sizing, magic number control, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries","48"
"DF SAUCE FINAL","risk/lot sizing, SL/TP/trailing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries, trade count limits","101"
"DF TREND GHOST","risk/lot sizing, SL/TP/trailing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries, trade count limits","91"
"DF_HIGHTOWER_ADAPTIVE_V7","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries","156"
"DF_HIGHTOWER_V10_FULL","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries, scale-in support","97"
"DF_QUANTUM","risk/lot sizing, SL/TP/trailing, magic number control, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries","22"
"DF_SAUCE","risk/lot sizing, SL/TP/trailing, magic number control, time/session filter, grid/multiplier logic, break-even logic, indicator-driven entries, scale-in support, hedging mode, trade count limits","101"
"DF_Sauce_EA","risk/lot sizing, SL/TP/trailing, magic number control, spread/slippage guard, break-even logic, indicator-driven entries","21"
"DFHIGHTOWERV6","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries, trade count limits","161"
"fxDreema","inputs not obvious / hardcoded logic","0"
"GOLDSETUP","risk/lot sizing, SL/TP/trailing, magic number control, time/session filter, grid/multiplier logic, break-even logic, indicator-driven entries, scale-in support, trade count limits","47"
"Heiken Ashi","break-even logic","4"
"Ichimoku","inputs not obvious / hardcoded logic","3"
"iExposure","inputs not obvious / hardcoded logic","1"
"IMB","risk/lot sizing, SL/TP/trailing, time/session filter, grid/multiplier logic, break-even logic, indicator-driven entries, scale-in support","30"
"Kingdom Manner","inputs not obvious / hardcoded logic","0"
"KINGDOM MANNER - ULTIMATE PACKAGE","risk/lot sizing, SL/TP/trailing, magic number control, time/session filter, grid/multiplier logic, break-even logic, indicator-driven entries","81"
"Kingdom Manner + Scale","inputs not obvious / hardcoded logic","0"
"Kingdom Manner + Scale + Margin Close","inputs not obvious / hardcoded logic","0"
"MACD","indicator-driven entries","3"
"MACD Sample","risk/lot sizing, SL/TP/trailing, indicator-driven entries","6"
"Manner","inputs not obvious / hardcoded logic","0"
"Momentum","indicator-driven entries","1"
"Moving Average","risk/lot sizing, indicator-driven entries","5"
"OsMA","indicator-driven entries","3"
"Parabolic","grid/multiplier logic, indicator-driven entries","2"
"pipsometer_decimal","inputs not obvious / hardcoded logic","4"
"RSI","indicator-driven entries","1"
"SAUCE","indicator-driven entries","9"
"SimplePanel","inputs not obvious / hardcoded logic","0"
"SORO","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries, scale-in support, trade count limits","16"
"SORO + IMB SCALER","risk/lot sizing, magic number control, time/session filter, spread/slippage guard, grid/multiplier logic, break-even logic, indicator-driven entries, scale-in support, trade count limits","34"
"Stochastic","inputs not obvious / hardcoded logic","3"
"x2014-pipsv2","inputs not obvious / hardcoded logic","0"
"ZigZag","grid/multiplier logic","3"
