"EAName","ExpertRelativePath","SizeBytes","LastWriteTimeUtc"
"CC GROW","ALL_EAs_BY_FUNCTION\Breakout\CC GROW.ex4","277656","2025-11-06T00:07:03.5555133Z"
"CEM BOT COPIER","ALL_EAs_BY_FUNCTION\CopierPanel\CEM BOT COPIER.ex4","17020","2026-01-03T01:30:54.1593075Z"
"DF LADDER - MOTION V3","ALL_EAs_BY_FUNCTION\GridLadder\DF LADDER - MOTION V3.ex4","110740","2026-02-07T16:59:21.9515144Z"
"DF LADDER - MOTION","ALL_EAs_BY_FUNCTION\GridLadder\DF LADDER - MOTION.ex4","97588","2026-01-09T23:32:43.0877839Z"
"DF LADDER- MOTION V2","ALL_EAs_BY_FUNCTION\GridLadder\DF LADDER- MOTION V2.ex4","103036","2026-01-17T16:31:23.9649962Z"
"DF LADDER","ALL_EAs_BY_FUNCTION\GridLadder\DF LADDER.ex4","46300","2026-01-01T22:36:54.0194125Z"
"Kingdom Manner + Scale","ALL_EAs_BY_FUNCTION\GridLadder\Kingdom Manner + Scale.ex4","255680","2025-10-23T16:22:06.8567585Z"
"SORO + IMB SCALER","ALL_EAs_BY_FUNCTION\GridLadder\SORO + IMB SCALER.ex4","65956","2025-12-10T23:31:50.8975371Z"
"DF KNOT +AUTOFLIP","ALL_EAs_BY_FUNCTION\MeanReversion\DF KNOT +AUTOFLIP.ex4","43662","2025-12-31T21:01:07.6406865Z"
"DF KNOT +AUTOFLIP_E733F041","ALL_EAs_BY_FUNCTION\MeanReversion\DF KNOT +AUTOFLIP_E733F041.ex4","43256","2026-01-01T22:42:30.0863252Z"
"DF KNOT","ALL_EAs_BY_FUNCTION\MeanReversion\DF KNOT.ex4","42100","2025-12-31T17:48:30.7700798Z"
"DF KNOT_647F42D4","ALL_EAs_BY_FUNCTION\MeanReversion\DF KNOT_647F42D4.ex4","41964","2026-01-01T22:42:30.9617600Z"
"DF LADDER RV","ALL_EAs_BY_FUNCTION\MeanReversion\DF LADDER RV.ex4","74186","2026-01-07T20:21:43.9142093Z"
"DF SAUCE 2.0","ALL_EAs_BY_FUNCTION\MeanReversion\DF SAUCE 2.0.ex4","72482","2026-02-07T17:31:05.7973011Z"
"DF SAUCE FINAL","ALL_EAs_BY_FUNCTION\MeanReversion\DF SAUCE FINAL.ex4","146190","2026-02-24T17:29:49.2618452Z"
"DF SAUCE","ALL_EAs_BY_FUNCTION\MeanReversion\DF SAUCE.ex4","44148","2026-02-06T15:28:48.4294815Z"
"DF_SAUCE","ALL_EAs_BY_FUNCTION\MeanReversion\DF_SAUCE.ex4","139950","2026-02-16T11:07:58.2335156Z"
"DF_Sauce_EA","ALL_EAs_BY_FUNCTION\MeanReversion\DF_Sauce_EA.ex4","39646","2026-01-01T12:49:34.0539438Z"
"DF_Sauce_EA_FIXED","ALL_EAs_BY_FUNCTION\MeanReversion\DF_Sauce_EA_FIXED.ex4","22380","2025-10-22T14:15:50.0057060Z"
"IMB","ALL_EAs_BY_FUNCTION\Scalper\IMB.ex4","27398","2025-12-05T23:02:33.6291928Z"
"SORO","ALL_EAs_BY_FUNCTION\Scalper\SORO.ex4","26654","2025-12-09T08:25:46.0924387Z"
"DF HIGHTOWER V2","ALL_EAs_BY_FUNCTION\Trend\DF HIGHTOWER V2.ex4","101532","2026-03-01T17:22:56.6026136Z"
"DF HIGHTOWER V3","ALL_EAs_BY_FUNCTION\Trend\DF HIGHTOWER V3.ex4","110722","2026-03-01T18:09:39.3807824Z"
"DF HIGHTOWER","ALL_EAs_BY_FUNCTION\Trend\DF HIGHTOWER.ex4","78422","2026-03-01T14:23:33.6756351Z"
"DF TREND GHOST","ALL_EAs_BY_FUNCTION\Trend\DF TREND GHOST.ex4","128748","2026-02-12T01:51:38.1253300Z"
"DF_HIGHTOWER_ADAPTIVE_V7","ALL_EAs_BY_FUNCTION\Trend\DF_HIGHTOWER_ADAPTIVE_V7.ex4","151100","2026-03-05T17:26:04.3174741Z"
"DF_HIGHTOWER_V10_FULL","ALL_EAs_BY_FUNCTION\Trend\DF_HIGHTOWER_V10_FULL.ex4","142020","2026-03-04T12:57:32.3231043Z"
"DFHIGHTOWERV6","ALL_EAs_BY_FUNCTION\Trend\DFHIGHTOWERV6.ex4","146352","2026-03-09T12:33:08.4766185Z"
