"TemplateFile","ExpertRelativePath","TemplateExists"
"AUTO_CC_GROW.tpl","ALL_EAs_BY_FUNCTION\Breakout\CC GROW.ex4","0"
"AUTO_CEM_BOT_COPIER.tpl","ALL_EAs_BY_FUNCTION\CopierPanel\CEM BOT COPIER.ex4","0"
"AUTO_DF_LADDER_-_MOTION_V3.tpl","ALL_EAs_BY_FUNCTION\GridLadder\DF LADDER - MOTION V3.ex4","0"
"AUTO_DF_LADDER_-_MOTION.tpl","ALL_EAs_BY_FUNCTION\GridLadder\DF LADDER - MOTION.ex4","0"
"AUTO_DF_LADDER-_MOTION_V2.tpl","ALL_EAs_BY_FUNCTION\GridLadder\DF LADDER- MOTION V2.ex4","0"
"AUTO_DF_LADDER.tpl","ALL_EAs_BY_FUNCTION\GridLadder\DF LADDER.ex4","0"
"AUTO_Kingdom_Manner___Scale.tpl","ALL_EAs_BY_FUNCTION\GridLadder\Kingdom Manner + Scale.ex4","0"
"AUTO_SORO___IMB_SCALER.tpl","ALL_EAs_BY_FUNCTION\GridLadder\SORO + IMB SCALER.ex4","0"
"AUTO_DF_KNOT__AUTOFLIP.tpl","ALL_EAs_BY_FUNCTION\MeanReversion\DF KNOT +AUTOFLIP.ex4","0"
"AUTO_DF_KNOT__AUTOFLIP_E733F041.tpl","ALL_EAs_BY_FUNCTION\MeanReversion\DF KNOT +AUTOFLIP_E733F041.ex4","0"
"AUTO_DF_KNOT.tpl","ALL_EAs_BY_FUNCTION\MeanReversion\DF KNOT.ex4","0"
"AUTO_DF_KNOT_647F42D4.tpl","ALL_EAs_BY_FUNCTION\MeanReversion\DF KNOT_647F42D4.ex4","0"
"AUTO_DF_LADDER_RV.tpl","ALL_EAs_BY_FUNCTION\MeanReversion\DF LADDER RV.ex4","0"
"AUTO_DF_SAUCE_2_0.tpl","ALL_EAs_BY_FUNCTION\MeanReversion\DF SAUCE 2.0.ex4","0"
"AUTO_DF_SAUCE_FINAL.tpl","ALL_EAs_BY_FUNCTION\MeanReversion\DF SAUCE FINAL.ex4","0"
"AUTO_DF_SAUCE.tpl","ALL_EAs_BY_FUNCTION\MeanReversion\DF SAUCE.ex4","0"
"AUTO_DF_SAUCE.tpl","ALL_EAs_BY_FUNCTION\MeanReversion\DF_SAUCE.ex4","0"
"AUTO_DF_Sauce_EA.tpl","ALL_EAs_BY_FUNCTION\MeanReversion\DF_Sauce_EA.ex4","0"
"AUTO_DF_Sauce_EA_FIXED.tpl","ALL_EAs_BY_FUNCTION\MeanReversion\DF_Sauce_EA_FIXED.ex4","0"
"AUTO_IMB.tpl","ALL_EAs_BY_FUNCTION\Scalper\IMB.ex4","0"
"AUTO_SORO.tpl","ALL_EAs_BY_FUNCTION\Scalper\SORO.ex4","0"
"AUTO_DF_HIGHTOWER_V2.tpl","ALL_EAs_BY_FUNCTION\Trend\DF HIGHTOWER V2.ex4","0"
"AUTO_DF_HIGHTOWER_V3.tpl","ALL_EAs_BY_FUNCTION\Trend\DF HIGHTOWER V3.ex4","0"
"AUTO_DF_HIGHTOWER.tpl","ALL_EAs_BY_FUNCTION\Trend\DF HIGHTOWER.ex4","0"
"AUTO_DF_TREND_GHOST.tpl","ALL_EAs_BY_FUNCTION\Trend\DF TREND GHOST.ex4","0"
"AUTO_DF_HIGHTOWER_ADAPTIVE_V7.tpl","ALL_EAs_BY_FUNCTION\Trend\DF_HIGHTOWER_ADAPTIVE_V7.ex4","0"
"AUTO_DF_HIGHTOWER_V10_FULL.tpl","ALL_EAs_BY_FUNCTION\Trend\DF_HIGHTOWER_V10_FULL.ex4","0"
"AUTO_DFHIGHTOWERV6.tpl","ALL_EAs_BY_FUNCTION\Trend\DFHIGHTOWERV6.ex4","0"
"AUTO_MACD_Sample.tpl","ALL_EAs_BY_FUNCTION\Trend\MACD Sample.ex4","0"
"AUTO_MACD_Sample_44D4FBE6.tpl","ALL_EAs_BY_FUNCTION\Trend\MACD Sample_44D4FBE6.ex4","0"
"AUTO_Moving_Average.tpl","ALL_EAs_BY_FUNCTION\Trend\Moving Average.ex4","0"
"AUTO_Moving_Average_3BDBF483.tpl","ALL_EAs_BY_FUNCTION\Trend\Moving Average_3BDBF483.ex4","0"
"AUTO_AVA.tpl","ALL_EAs_BY_FUNCTION\Unknown\AVA.ex4","0"
"AUTO_DF_5_1.tpl","ALL_EAs_BY_FUNCTION\Unknown\DF 5.1.ex4","0"
"AUTO_DF_ORIGINAL_.tpl","ALL_EAs_BY_FUNCTION\Unknown\DF ORIGINAL .ex4","0"
"AUTO_DF_ORIGINAL.tpl","ALL_EAs_BY_FUNCTION\Unknown\DF ORIGINAL.ex4","0"
"AUTO_DF_QUANTUM.tpl","ALL_EAs_BY_FUNCTION\Unknown\DF_QUANTUM.ex4","0"
"AUTO_DJ_VERSION_-_ULTIMATE_PACKAGE__1___1_.tpl","ALL_EAs_BY_FUNCTION\Unknown\DJ VERSION - ULTIMATE PACKAGE (1) (1).ex4","0"
"AUTO_GOLDSETUP.tpl","ALL_EAs_BY_FUNCTION\Unknown\GOLDSETUP.ex4","0"
"AUTO_HALO.tpl","ALL_EAs_BY_FUNCTION\Unknown\HALO.ex4","0"
"AUTO_KINGDOM_MANNER_-_ULTIMATE_PACKAGE.tpl","ALL_EAs_BY_FUNCTION\Unknown\KINGDOM MANNER - ULTIMATE PACKAGE.ex4","0"
"AUTO_KINGDOM_MANNER_-_VERSION_3.tpl","ALL_EAs_BY_FUNCTION\Unknown\KINGDOM MANNER - VERSION 3.ex4","0"
"AUTO_KINGDOM_MANNER_-_VERSION_4.tpl","ALL_EAs_BY_FUNCTION\Unknown\KINGDOM MANNER - VERSION 4.ex4","0"
"AUTO_Kingdom_Manner.tpl","ALL_EAs_BY_FUNCTION\Unknown\Kingdom Manner.ex4","0"
"AUTO_Manner.tpl","ALL_EAs_BY_FUNCTION\Unknown\Manner.ex4","0"
"AUTO_AVA.tpl","AVA.ex4","0"
"AUTO_CEM_BOT_COPIER.tpl","CEM BOT COPIER.ex4","0"
