"EAName","PresetFile","RiskPercent","Lots","LotSize","MaxLot","MinLot","StopLoss","TakeProfit","Magic"
"DF 5.1","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF 5.1.ini","","","","","","","",""
"DF HIGHTOWER","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V3.ini","","","","","","","",""
"DF HIGHTOWER V2","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V2.ini","","","","","","","",""
"DF HIGHTOWER V3","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V3.ini","","","","","","","",""
"DF KNOT","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF KNOT +AUTOFLIP.ini","","","","","","","","444000"
"DF KNOT +AUTOFLIP","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF KNOT +AUTOFLIP.ini","","","","","","","","444000"
"DF LADDER","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","","","","","","","",""
"DF LADDER - MOTION","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","","","","","","","",""
"DF LADDER - MOTION V3","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","","","","","","","",""
"DF LADDER- MOTION V2","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER- MOTION V2.ini","","","","","","","",""
"DF LADDER RV","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER RV.ini","","","","","","","",""
"DF ORIGINAL","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF ORIGINAL.ini","7.00000000","","","","","","","999"
"DF ORIGINAL ","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF ORIGINAL.ini","7.00000000","","","","","","","999"
"DF SAUCE","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE FINAL.ini","","","","","","","",""
"DF SAUCE 2.0","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE.ini","30.00000000","","","","","","","555777"
"DF SAUCE FINAL","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE FINAL.ini","","","","","","","",""
"DF TREND GHOST","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF TREND GHOST.ini","","","","","","","",""
"DF_HIGHTOWER_ADAPTIVE_V7","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_HIGHTOWER_ADAPTIVE_V7.ini","","","","","","","",""
"DF_HIGHTOWER_V10_FULL","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_HIGHTOWER_V10_FULL.ini","","","","","","","",""
"DF_SAUCE","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","55.00000000","","","","","","","999"
"DF_Sauce_EA","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","55.00000000","","","","","","","999"
"DF_Sauce_EA_FIXED","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","55.00000000","","","","","","","999"
"DFHIGHTOWERV6","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DFHIGHTOWERV6.ini","","","","","","","",""
"MACD Sample","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\MACD Sample.ini","","","","","","","",""
"Moving Average","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\Moving Average.ini","","0.10000000","","","","","",""
