"EAName","PresetFile","PresetDate","StartBalance","Status"
"DF 5.1","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF 5.1.ini","2/12/2026 5:02:47 AM","50","BEST_KNOWN_PRESET"
"DF HIGHTOWER","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V3.ini","3/3/2026 7:31:24 AM","50","BEST_KNOWN_PRESET"
"DF HIGHTOWER V2","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V2.ini","3/1/2026 1:01:41 PM","50","BEST_KNOWN_PRESET"
"DF HIGHTOWER V3","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V3.ini","3/3/2026 7:31:24 AM","50","BEST_KNOWN_PRESET"
"DF KNOT","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF KNOT +AUTOFLIP.ini","3/16/2026 12:15:21 PM","50","BEST_KNOWN_PRESET"
"DF KNOT +AUTOFLIP","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF KNOT +AUTOFLIP.ini","3/16/2026 12:15:21 PM","50","BEST_KNOWN_PRESET"
"DF LADDER","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","2/3/2026 8:19:00 PM","50","BEST_KNOWN_PRESET"
"DF LADDER - MOTION","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","2/3/2026 8:19:00 PM","50","BEST_KNOWN_PRESET"
"DF LADDER - MOTION V3","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","2/3/2026 8:19:00 PM","50","BEST_KNOWN_PRESET"
"DF LADDER- MOTION V2","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER- MOTION V2.ini","1/18/2026 6:54:13 AM","50","BEST_KNOWN_PRESET"
"DF LADDER RV","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER RV.ini","1/7/2026 3:21:59 PM","50","BEST_KNOWN_PRESET"
