"JobId","EAName","Mode","PresetFile","Symbol","Timeframe","FromDate","ToDate","Deposit","Status"
"1","04-EA_iChimoku_Cloud","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"2","AVA","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"3","CAP Breakout EA","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"4","CC GROW","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"5","CC V1","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"6","CC V1.2","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"7","CC V2.4.4","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"8","CC V2.5.2","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"9","CC V2.5.2.1","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"10","CEM BOT COPIER","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"11","CHEMICAL X V2","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"12","culture coin","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"13","CULTURE COIN V.1","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"14","CULTURE COIN V.2 (1)","Template","","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"15","DF 5.1","UsePreset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF 5.1.ini","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"16","DF HIGHTOWER","UsePreset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V3.ini","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
"17","DF HIGHTOWER V2","UsePreset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V2.ini","XAUUSD","M15","2024.01.01","2025.12.31","50","PENDING"
