"EAName","Mode","StartBalance","PresetFile","Lots","RiskPercent","StopLoss","TakeProfit"
"04-EA_iChimoku_Cloud","Template","50","","0.01","1.0","200","300"
"AVA","Template","50","","0.01","1.0","200","300"
"CAP Breakout EA","Template","50","","0.01","1.0","200","300"
"CC GROW","Template","50","","0.01","1.0","200","300"
"CC V1","Template","50","","0.01","1.0","200","300"
"CC V1.2","Template","50","","0.01","1.0","200","300"
"CC V2.4.4","Template","50","","0.01","1.0","200","300"
"CC V2.5.2","Template","50","","0.01","1.0","200","300"
"CC V2.5.2.1","Template","50","","0.01","1.0","200","300"
"CEM BOT COPIER","Template","50","","0.01","1.0","200","300"
"CHEMICAL X V2","Template","50","","0.01","1.0","200","300"
"culture coin","Template","50","","0.01","1.0","200","300"
"CULTURE COIN V.1","Template","50","","0.01","1.0","200","300"
"CULTURE COIN V.2 (1)","Template","50","","0.01","1.0","200","300"
"DF 5.1","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF 5.1.ini","","","",""
"DF HIGHTOWER","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V3.ini","","","",""
"DF HIGHTOWER V2","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V2.ini","","","",""
"DF HIGHTOWER V3","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V3.ini","","","",""
"DF KNOT","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF KNOT +AUTOFLIP.ini","","","",""
"DF KNOT +AUTOFLIP","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF KNOT +AUTOFLIP.ini","","","",""
"DF LADDER","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","","","",""
"DF LADDER - MOTION","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","","","",""
"DF LADDER - MOTION V3","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER - MOTION V3.ini","","","",""
"DF LADDER- MOTION V2","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER- MOTION V2.ini","","","",""
"DF LADDER RV","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF LADDER RV.ini","","","",""
"DF ORIGINAL","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF ORIGINAL.ini","","","",""
"DF SAUCE","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE FINAL.ini","","","",""
"DF SAUCE 2.0","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE.ini","","","",""
"DF SAUCE FINAL","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF SAUCE FINAL.ini","","","",""
"DF TREND GHOST","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF TREND GHOST.ini","","","",""
"DF_HIGHTOWER_ADAPTIVE_V7","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_HIGHTOWER_ADAPTIVE_V7.ini","","","",""
"DF_HIGHTOWER_V10_FULL","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_HIGHTOWER_V10_FULL.ini","","","",""
"DF_SAUCE","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","","","",""
"DF_Sauce_EA","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","","","",""
"DF_Sauce_EA_FIXED","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF_SAUCE.ini","","","",""
"DFHIGHTOWERV6","UsePreset","50","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DFHIGHTOWERV6.ini","","","",""
"DJ VERSION - ULTIMATE PACKAGE (1) (1)","Template","50","","0.01","1.0","200","300"
