"EAName","RecommendationType","PresetFile","StartBalance","Lots","StopLoss","TakeProfit"
"04-EA_iChimoku_Cloud","Template","","50","0.01","200","300"
"Accelerator","Template","","50","0.01","200","300"
"Accumulation","Template","","50","0.01","200","300"
"Alligator","Template","","50","0.01","200","300"
"ATR","Template","","50","0.01","200","300"
"AVA","Template","","50","0.01","200","300"
"Awesome","Template","","50","0.01","200","300"
"Bands","Template","","50","0.01","200","300"
"Bears","Template","","50","0.01","200","300"
"Blahtech Candle Timer","Template","","50","0.01","200","300"
"Bulls","Template","","50","0.01","200","300"
"CAP Breakout EA","Template","","50","0.01","200","300"
"CC GROW","Template","","50","0.01","200","300"
"CC V1","Template","","50","0.01","200","300"
"CC V1.2","Template","","50","0.01","200","300"
"CC V2.4.4","Template","","50","0.01","200","300"
"CC V2.5.2","Template","","50","0.01","200","300"
"CC V2.5.2.1","Template","","50","0.01","200","300"
"CCI","Template","","50","0.01","200","300"
"CEM BOT COPIER","Template","","50","0.01","200","300"
"ChartWall for MT4","Template","","50","0.01","200","300"
"CHEMICAL X V2","Template","","50","0.01","200","300"
"color-ma-indicator","Template","","50","0.01","200","300"
"culture coin","Template","","50","0.01","200","300"
"CULTURE COIN V.1","Template","","50","0.01","200","300"
"CULTURE COIN V.2 (1)","Template","","50","0.01","200","300"
"Custom Moving Averages","Template","","50","0.01","200","300"
"DailyPercentageChange","Template","","50","0.01","200","300"
"DF 5.1","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF 5.1.ini","50","","",""
"DF HIGHTOWER","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V3.ini","50","","",""
"DF HIGHTOWER V2","Preset","C:\Users\jaque\AppData\Roaming\MetaQuotes\Terminal\BAEC37CBBA31C26B3C8E7E5183FE4CC4\tester\DF HIGHTOWER V2.ini","50","","",""
