"Score","ProfitScore","DrawdownScore","ProfitFactorScore","StabilityScore","RobustnessScore","TradeCountScore","ComboKey","EAName","Symbol","Timeframe","SplitName","SplitKind","Deposit","NetProfit","MaxDrawdownPct","ProfitFactor","Trades","SharpeProxy","ParamsJson"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_37","DJ VERSION - ULTIMATE PACKAGE (1) (1)","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_36","DFHIGHTOWERV6","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_35","DF_Sauce_EA_FIXED","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_40","HALO","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_39","GOLDSETUP","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_38","fxDreema","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_34","DF_Sauce_EA","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_30","DF TREND GHOST","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_29","DF SAUCE FINAL","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_28","DF SAUCE 2.0","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_33","DF_SAUCE","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_32","DF_HIGHTOWER_V10_FULL","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_31","DF_HIGHTOWER_ADAPTIVE_V7","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_50","Moving Average","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_49","Manner","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_48","MACD Sample","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_53","Trade Panel Pro by RunwiseFX","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_52","SORO + IMB SCALER","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_51","SORO","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_47","Kingdom Manner + Scale + Margin Close","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_43","KINGDOM MANNER - ULTIMATE PACKAGE","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_42","Kingdom Manner","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_41","IMB","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_46","Kingdom Manner + Scale","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_45","KINGDOM MANNER - VERSION 4","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_44","KINGDOM MANNER - VERSION 3","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_27","DF SAUCE","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_10","CEM BOT COPIER","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_9","CC V2.5.2.1","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_8","CC V2.5.2","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_13","CULTURE COIN V.1","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_12","culture coin","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_11","CHEMICAL X V2","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_7","CC V2.4.4","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_3","CAP Breakout EA","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_2","AVA","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_1","04-EA_iChimoku_Cloud","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_6","CC V1.2","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_5","CC V1","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_4","CC GROW","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_23","DF LADDER - MOTION V3","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_22","DF LADDER - MOTION","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_21","DF LADDER","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_26","DF ORIGINAL","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_25","DF LADDER RV","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_24","DF LADDER- MOTION V2","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_20","DF KNOT +AUTOFLIP","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_16","DF HIGHTOWER","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_15","DF 5.1","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_14","CULTURE COIN V.2 (1)","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
"0.575","0.5","1","0.5","0.5","0","0","LIVE50_19","DF KNOT","XAUUSD","M15","live_2024_2025","test","50","0","0","0","0","0","{}"
