"JobId","ComboKey","EAName","EAFilePath","Symbol","Timeframe","SplitName","SplitKind","FromDate","ToDate","Deposit","ParamsJson"
"1","A45458070A792406949E049D1F36EF55F9C25275","04-EA_iChimoku_Cloud","C:\Users\jaque\Documents\TRADING ECOSYSTEM\experts\imported\A15C02ED65BD15EADBC800BEC8D7048A\04-EA_iChimoku_Cloud.mq4","XAUUSD","M15","train_2021_2022","train","2021.01.01","2022.12.31","50","{""TakeProfit"":100,""Lots"":0.01,""StopLoss"":100}"
"2","110BA63146FE053C7491041C5C22B1B473BB297A","04-EA_iChimoku_Cloud","C:\Users\jaque\Documents\TRADING ECOSYSTEM\experts\imported\A15C02ED65BD15EADBC800BEC8D7048A\04-EA_iChimoku_Cloud.mq4","XAUUSD","M15","train_2021_2022","train","2021.01.01","2022.12.31","50","{""TakeProfit"":200,""Lots"":0.01,""StopLoss"":100}"
"3","517576C8BAF0919D8E429A8C9FE72BF4D87DF7F7","04-EA_iChimoku_Cloud","C:\Users\jaque\Documents\TRADING ECOSYSTEM\experts\imported\A15C02ED65BD15EADBC800BEC8D7048A\04-EA_iChimoku_Cloud.mq4","XAUUSD","M15","train_2021_2022","train","2021.01.01","2022.12.31","50","{""TakeProfit"":300,""Lots"":0.01,""StopLoss"":100}"
"4","9CA6F0AB3B2B9E5FED73C0BB56685299747D25B6","04-EA_iChimoku_Cloud","C:\Users\jaque\Documents\TRADING ECOSYSTEM\experts\imported\A15C02ED65BD15EADBC800BEC8D7048A\04-EA_iChimoku_Cloud.mq4","XAUUSD","M15","train_2021_2022","train","2021.01.01","2022.12.31","50","{""TakeProfit"":100,""Lots"":0.01,""StopLoss"":200}"
"5","084FB7472CAD1DC989733468AA6707C916915A84","04-EA_iChimoku_Cloud","C:\Users\jaque\Documents\TRADING ECOSYSTEM\experts\imported\A15C02ED65BD15EADBC800BEC8D7048A\04-EA_iChimoku_Cloud.mq4","XAUUSD","M15","train_2021_2022","train","2021.01.01","2022.12.31","50","{""TakeProfit"":200,""Lots"":0.01,""StopLoss"":200}"
"6","EF15E6D75008294D2B288648C1BF1A7FC4575056","04-EA_iChimoku_Cloud","C:\Users\jaque\Documents\TRADING ECOSYSTEM\experts\imported\A15C02ED65BD15EADBC800BEC8D7048A\04-EA_iChimoku_Cloud.mq4","XAUUSD","M15","train_2021_2022","train","2021.01.01","2022.12.31","50","{""TakeProfit"":300,""Lots"":0.01,""StopLoss"":200}"
"7","DA6EB87F40B09336344E3F9DEFB7840DC1C5CD3B","04-EA_iChimoku_Cloud","C:\Users\jaque\Documents\TRADING ECOSYSTEM\experts\imported\A15C02ED65BD15EADBC800BEC8D7048A\04-EA_iChimoku_Cloud.mq4","XAUUSD","M15","train_2021_2022","train","2021.01.01","2022.12.31","50","{""TakeProfit"":100,""Lots"":0.02,""StopLoss"":100}"
"8","56DE636AE02275BD38A587D678A75D9184959421","04-EA_iChimoku_Cloud","C:\Users\jaque\Documents\TRADING ECOSYSTEM\experts\imported\A15C02ED65BD15EADBC800BEC8D7048A\04-EA_iChimoku_Cloud.mq4","XAUUSD","M15","train_2021_2022","train","2021.01.01","2022.12.31","50","{""TakeProfit"":200,""Lots"":0.02,""StopLoss"":100}"
"9","3AA7874BE9A40ADB23C1EE32889039EA5359D4F7","04-EA_iChimoku_Cloud","C:\Users\jaque\Documents\TRADING ECOSYSTEM\experts\imported\A15C02ED65BD15EADBC800BEC8D7048A\04-EA_iChimoku_Cloud.mq4","XAUUSD","M15","train_2021_2022","train","2021.01.01","2022.12.31","50","{""TakeProfit"":300,""Lots"":0.02,""StopLoss"":100}"
"10","BCBE432E4911E10D7DDC7CF4DD5F201AB3D49584","04-EA_iChimoku_Cloud","C:\Users\jaque\Documents\TRADING ECOSYSTEM\experts\imported\A15C02ED65BD15EADBC800BEC8D7048A\04-EA_iChimoku_Cloud.mq4","XAUUSD","M15","train_2021_2022","train","2021.01.01","2022.12.31","50","{""TakeProfit"":100,""Lots"":0.02,""StopLoss"":200}"
